subgraph_size,jjk_composition,shape,observed_count,null_mean,null_std,z_score,p_value,significant
3,Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological,2edges,3,2.9131,1.9852,0.0438,0.5437,False
4,Disputed + Jamāl + Jamāl + Kamāl-epistemic (upgraded from Disputed — see rationale),4edges,34,33.2229,15.1252,0.0514,0.5459,False
4,Jalāl + Jamāl + Kamāl-epistemic + Kamāl-epistemic,4edges,18,19.1008,8.2592,-0.1333,0.5488,False
4,Disputed + Jalāl + Jalāl + Kamāl-epistemic (upgraded from Disputed — see rationale),4edges,31,32.6657,15.4879,-0.1075,0.5495,False
4,Disputed + Jalāl + Jalāl + Jamāl,5edges,20,20.5412,6.0438,-0.0895,0.5523,False
3,Jamāl + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale),2edges,6,6.0919,3.2792,-0.028,0.5527,False
3,Disputed + Jamāl + Kamāl-ontological,complete,7,6.8334,2.0302,0.0821,0.5586,False
4,Disputed + Jamāl + Kamāl-epistemic + Kamāl-ontological,4edges,177,181.0182,26.5376,-0.1514,0.5659,False
4,Disputed + Jalāl + Jalāl + Jamāl,3edges,3390,3442.181,249.8631,-0.2088,0.5697,False
4,Jalāl + Jalāl + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological,3edges,7,8.6691,6.4124,-0.2603,0.5712,False
4,Disputed + Jalāl + Kamāl-ontological + Kamāl-ontological,5edges,4,4.3053,2.7331,-0.1117,0.5721,False
4,Jalāl + Jalāl + Kamāl-epistemic + Kamāl-ontological,3edges,60,64.8264,19.7286,-0.2446,0.5754,False
3,Disputed + Jamāl + Kamāl-epistemic (upgraded from Disputed — see rationale),complete,2,1.7412,1.0389,0.2491,0.5754,False
3,Jalāl + Jalāl + Kamāl-epistemic,2edges,21,22.1969,6.688,-0.179,0.576,False
3,Jamāl + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological,2edges,3,3.3388,2.428,-0.1395,0.5803,False
3,Jalāl + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological,2edges,3,3.35,2.3393,-0.1496,0.5949,False
4,Jalāl + Jalāl + Kamāl-epistemic + Kamāl-epistemic,4edges,7,8.6006,5.7484,-0.2784,0.5954,False
4,Jalāl + Jalāl + Kamāl-epistemic + Kamāl-epistemic,3edges,39,44.4287,17.3006,-0.3138,0.599,False
4,Disputed + Jalāl + Jamāl + Jamāl,4edges,331,340.1585,41.1431,-0.2226,0.6018,False
4,Jalāl + Jalāl + Kamāl-ontological + Kamāl-ontological,3edges,10,12.7908,8.1981,-0.3404,0.6033,False
4,Disputed + Jalāl + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological,4edges,26,28.4135,12.3175,-0.1959,0.6075,False
3,Disputed + Jalāl + Jamāl,2edges,371,379.7242,13.9226,-0.6266,0.6145,False
4,Jalāl + Jamāl + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale),4edges,5,6.7886,4.9009,-0.365,0.6174,False
4,Jalāl + Jamāl + Kamāl-ontological + Kamāl-ontological,3edges,24,27.9218,11.7912,-0.3326,0.6217,False
4,Disputed + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological + Kamāl-ontological,3edges,13,13.3868,4.5873,-0.0843,0.6268,False
3,Disputed + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological,complete,1,0.8382,0.7798,0.2075,0.6272,False
4,Disputed + Jalāl + Jalāl + Kamāl-epistemic (upgraded from Disputed — see rationale),5edges,2,2.6811,2.3587,-0.2888,0.6273,False
4,Disputed + Jalāl + Jamāl + Kamāl-ontological,complete,1,1.0251,1.0425,-0.0241,0.6289,False
4,Disputed + Kamāl-epistemic + Kamāl-epistemic + Kamāl-ontological,3edges,84,87.537,15.061,-0.2348,0.6432,False
4,Jalāl + Jamāl + Jamāl + Kamāl-epistemic,5edges,1,1.4871,1.6829,-0.2894,0.6441,False
3,Disputed + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological,2edges,6,5.7091,1.1529,0.2523,0.6446,False
4,Disputed + Jalāl + Kamāl-epistemic + Kamāl-epistemic,complete,1,1.1173,1.1219,-0.1046,0.6475,False
4,Jalāl + Kamāl-epistemic + Kamāl-epistemic + Kamāl-epistemic,3edges,12,16.4343,9.8913,-0.4483,0.6479,False
3,Disputed + Kamāl-ontological + Kamāl-ontological,2edges,18,17.6381,3.115,0.1162,0.6504,False
4,Jamāl + Kamāl-epistemic + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological,3edges,14,17.5983,8.8146,-0.4082,0.6514,False
4,Disputed + Jalāl + Jalāl + Jalāl,5edges,4,5.3379,3.5736,-0.3744,0.6533,False
4,Disputed + Jalāl + Jalāl + Kamāl-epistemic,complete,1,1.12,1.0947,-0.1096,0.6594,False
3,Jalāl + Kamāl-ontological + Kamāl-ontological,2edges,4,4.9559,2.8945,-0.3302,0.6599,False
4,Disputed + Jamāl + Kamāl-epistemic (upgraded from Disputed — see rationale) + Kamāl-ontological,3edges,92,97.3402,18.7112,-0.2854,0.6667,False
3,Jalāl + Jamāl + Kamāl-ontological,complete,1,1.1374,1.0949,-0.1255,0.6691,False
3,Disputed + Jamāl + Kamāl-ontological,2edges,119,122.8678,10.7426,-0.36,0.6706,False
